candidate_id,source_family,representative_local_files_or_source,local_status,temporal_coverage_observed_or_claimed,geographic_level,possible_future_use,integration_priority,integration_risk,decision_now
bpe_third_party_geolocated,accessibility_services,"data/raw/temporal_depth/bpe/third_party_mirrors/buildingref-france-bpe-all-geolocated.*",local_available,unknown_or_multi_millesime,point_geolocated,"possible geolocated service layer for exploratory maps or validation",low_medium,third_party_mirror_not_primary_official_source,do_not_use_for_core_until_audited
filosofi_extended,income_poverty,"data/raw/income/filosofi/DS_FILOSOFI_AGE_TP_NIVVIE_2021_CSV_FR.zip; DS_FILOSOFI_LOG_TP_NIVVIE_2021_CSV_FR.zip; DS_FILOSOFI_MEN_TP_NIVVIE_2021_CSV_FR.zip; data/raw/temporal_depth/filosofi/indic-struct-distrib-revenu-2020-*",local_available,2020_2021,commune_and_supra_communal,"poverty, income by age, household and housing strata; socioeconomic vulnerability features",high,privacy_suppression_and_missingness,integrate_selectively_after_feature_baseline
bts_private_wages,wages_private_sector,"data/raw/wages/bts/DS_BTS_SAL_EQTP_SEX_AGE_2023_CSV_FR.zip; DS_BTS_SAL_EQTP_SEX_PCS_2023_CSV_FR.zip",local_available,2023,commune_or_supra_communal_to_confirm,"private-sector wage structure by age/sex/occupation; economic quality feature",medium,one_year_only_and_scope_private_sector,optional_context_after_core_baselines
population_history_long,population,"data/raw/population/base-pop-historiques-1876-2023.xlsx; DS_POPULATIONS_HISTORIQUES_CSV_FR.zip; DS_POPULATIONS_REFERENCE_2023_CSV_FR.zip",local_available,1876_2023,commune,"long-run demographic trajectory and structural trend features",medium_high,COG_changes_and_long_history_harmonization,integrate_for_static_trend_features
zrr_frr_policy_context,policy_layers,"data/raw/policy/zrr/*.xls; data/raw/policy/frr/dataset-1775678390572.zip; data/raw/policy/legal/joe_20240620_0144_0051.pdf",local_available,2019_2024_claimed,commune_or_policy_zone,"policy regime context, eligibility, treatment/status indicators",high,legal_regime_interpretation_and_temporal_validity,integrate_carefully_as_policy_context
qpv_policy_geography,policy_layers,"data/raw/policy/qpv/qpv-2024.*; listeqp2024-cog2024.csv; liste-correspondance-qp2024-qp2015.csv",local_available,2015_2024,neighborhood_commune_mapping,"urban policy exposure and vulnerable-zone context",medium_high,geometry_to_ZE2020_aggregation_choices,aggregate_as_context_not_target
zan_ocs_ge_artificialisation,policy_environment,"data/raw/policy/zan/ocs_ge/*.7z",local_available_partial_departments,2016_2022_claimed_by_file,department_geopackage,"fine-grained artificialisation/land-use change features or validation against ZAN consumption",medium,incomplete_department_coverage_large_geodata,important_later_not_now
zan_pnb_action7,policy_environment,"data/raw/policy/zan/pnb_action7/pnb_action7-selected.zip",local_available,unknown,grid_or_commune_to_confirm,"land consumption indicators from Fichiers Fonciers/PNB Action 7",medium,large_file_needs_schema_inspection,inspect_when_environmental_axis_returns
zan_consumption_existing,policy_environment,"data/raw/policy/zan/conso2009-2024-resultats-com.csv; obs-artif-conso-com-2009-2024*.zip",local_available,2009_2024,commune,"already useful annual artificialisation/land-consumption context; can enrich constraints/agents later",medium,policy_outcome_not_economic_target,already_partly_integrated_keep_for_agents
ds_ica_monthly_activity,macro_sectoral_context,"https://catalogue-donnees.insee.fr/fr/catalogue/recherche/DS_ICA",registered_not_downloaded,1999-01_2026-01,sectoral_national_or_aggregate_not_ZE2020,"future monthly macro-sectoral shocks; possible intra-annual model context using local sector composition",future_high,not_territorial_requires_mapping_model,registered_future_only
ds_comptes_regionaux,macro_regional_context,"https://catalogue-donnees.insee.fr/fr/catalogue/recherche/DS_COMPTES_REGIONAUX",registered_not_downloaded,1990_2024,region,"annual regional GDP, value added and household accounts as macro context",future_high,regional_not_ZE2020_may_dominate_local_signal,registered_future_only
