family,content_type,path,size_bytes,size_mb,extension,zip_members,zip_member_suffixes,zip_uncompressed_bytes,processing_status,priority,decision_reason
rei,rei_fiscality,data/raw/external/rei/REI-2013-fichier-notice-trace.zip,116649676,111.25,zip,3,"pdf,xlsx",125462770,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2014-fichier-notice-trace.zip,115334838,109.99,zip,3,"pdf,xlsx",123719563,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2016-fichier-notice-trace.zip,114558397,109.25,zip,3,"pdf,xlsx",126637122,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2008-fichier-trace.zip,108815102,103.77,zip,2,xlsx,130728038,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2007-fichier-trace.zip,103882060,99.07,zip,2,xlsx,124544421,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2006-fichier-trace.zip,103046153,98.27,zip,2,xlsx,123120224,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2017-fichier-notice-trace.zip,94349675,89.98,zip,4,"pdf,xlsx",114220748,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2001-fichier-trace.zip,92090777,87.82,zip,2,xlsx,102228211,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2000-fichier-trace.zip,91918799,87.66,zip,2,xlsx,101304741,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2005-fichier-trace.zip,91750159,87.5,zip,2,xlsx,110775319,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1999-fichier-trace.zip,90992891,86.78,zip,2,xlsx,100192189,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2002-fichier-trace.zip,88224170,84.14,zip,2,xlsx,102600224,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2004-fichier-trace.zip,84284862,80.38,zip,2,xlsx,104942529,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1997-fichier-trace.zip,80495530,76.77,zip,2,xlsx,89990297,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2003-fichier-trace.zip,76895662,73.33,zip,2,xlsx,91078852,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1996-fichier-trace.zip,75248901,71.76,zip,2,xlsx,80286074,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2012-fichier-notice-trace.zip,73746398,70.33,zip,3,"pdf,xlsx",75623632,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1995-fichier-trace.zip,73206608,69.82,zip,2,xlsx,77084598,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2011-fichier-notice-trace.zip,69631511,66.41,zip,3,"pdf,xlsx",71249027,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1994-fichier-trace.zip,68778798,65.59,zip,2,xlsx,72163240,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2009-fichier-trace.zip,66212731,63.15,zip,2,xlsx,66710037,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1993-fichier-trace.zip,65726605,62.68,zip,2,xlsx,67984537,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1998-fichier-trace.zip,63292686,60.36,zip,2,xlsx,80459111,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2010-fichier-trace.zip,63120915,60.2,zip,2,xlsx,63438707,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1992-fichier-trace.zip,62933045,60.02,zip,2,xlsx,64444193,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1991-fichier-trace.zip,61402640,58.56,zip,2,xlsx,62077771,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1990-fichier-trace.zip,57990860,55.3,zip,2,xlsx,58659007,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1989-fichier-trace.zip,54503185,51.98,zip,2,xlsx,55063391,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
sitadel,sitadel_event_level_permissions,data/raw/external/sitadel/Liste-des-permis-de-demolir.2026-04.csv,51789270,49.39,csv,0,,,not_processed,medium,event-level permits may help but require aggregation design
rei,rei_fiscality,data/raw/external/rei/REI-1988-fichier-trace.zip,49668587,47.37,zip,2,xlsx,50296017,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
sitadel,sitadel_event_level_permissions,data/raw/external/sitadel/Liste-des-permis-damenager.2026-04.csv,31598471,30.13,csv,0,,,not_processed,medium,event-level permits may help but require aggregation design
rei,rei_fiscality,data/raw/external/rei/REI-2024-fichier-notice-trace.zip,17176076,16.38,zip,3,"csv,pdf,xlsx",117870770,processed_subset,medium,CSV years processed; historical XLSX years pending
rei,rei_fiscality,data/raw/external/rei/REI-1987-fichier-trace.zip,16367232,15.61,zip,2,xlsx,16506487,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1985-fichier-trace.zip,16268849,15.52,zip,2,xlsx,16410393,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1984-fichier-trace.zip,16205873,15.46,zip,2,xlsx,16348019,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1986-fichier-trace.zip,16092679,15.35,zip,2,xlsx,16236111,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2023-fichier-notice-trace.zip,15606210,14.88,zip,3,"csv,pdf,xlsx",112464546,processed_subset,medium,CSV years processed; historical XLSX years pending
rei,rei_fiscality,data/raw/external/rei/REI-1983-fichier-trace.zip,15143811,14.44,zip,2,xlsx,15251688,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-1982-fichier-trace.zip,14970938,14.28,zip,2,xlsx,15069905,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
