column,layer,range_min,range_max,mean,nulls,variance_level,use_policy,training_status,discriminating_power,overseas_included,outlier_notes,action_required
naf4_hhi,layer_1_basic,0.0226,0.6658,0.0891,0,HIGH,safe_static_context_candidate — pairs with diversity,static_context; safe_for_training if reconstructed annually,HIGH — Épernay 0.67 vs national median ~0.08,YES,Épernay (0.67) extreme outlier: 66% HHI. Valréas (0.21) also high (lavender/perfume). National majority < 0.15.,"Inverse of diversity (~-0.85 correlation). Keep both or select one based on VIF. HHI > 0.3 = structurally concentrated zone; consider interaction with A10 sector."
avg_pci_naf_weighted,layer_2_product,−1.2535,0.1018,−0.5645,0,HIGH,safe_static_context_candidate — best complexity proxy,safe_static_context — static structural; safe for all years,HIGH — 1.37 range; z-score units,YES — overseas cluster at bottom PCI (−1.25 to −0.90),Paris (0.10) highest; Oyonnax (0.05) high-tech manufacturing hub. Bottom: overseas territories + Épernay + champagne/agriculture zones.,PCI is in standardized units (z-score). Negative = below-average complexity. All French zones below global median. No transformation needed. WARNING: column named rank_economic_growth but is PCI.
avg_resilience_naf_weighted,layer_2_product,0.1179,0.8543,0.5110,0,HIGH,safe_static_context_candidate,safe_static_context — static structural; formula partially undocumented,HIGH — 0.74 range; [0,1] normalized,YES — overseas mixed (0.45–0.75),Épernay (0.85) highest: champagne has highly resilient global supply chains. Marie-Galante (0.75) also high (rum/sugar export diversification). Urban services zones mid-range.,Formula partially undocumented (efficiency×redundancy from 2019 trade graph). Use as structural proxy. Test hypothesis: high-resilience ZEs showed less 2021 COVID shock.
avg_green_naf_weighted,layer_2_product,0.0000,0.0281,0.00364,0,LOW — near-zero variance,post_model_only — blocked_for_training until source confirmed,blocked_for_training — source unknown; near-zero nationally,LOW — max is 0.028; essentially zero for 99% of zones,YES — some overseas show ~0 as well,"Maximum 0.028 means even the most industrial zone has near-zero green score. Mostly identifies industrial zones vs services (0 vs 0.01). Not useful as continuous predictor.",Source of green_norm unknown. Post-model only. Could discriminate at A10-C vs A10-J but variance too low for quantitative use.
avg_maslow_naf_weighted,layer_2_product,0.0041,0.3714,0.0445,0,MEDIUM,safe_static_context_candidate — narrative/interpretation use,static_context; no training value confirmed,MEDIUM — 0.37 range,YES — overseas cluster at 0.004–0.04 (basic goods production),Paris (0.37) top professional services. Rural agricultural zones bottom. Wide range but non-linear distribution (many near zero; few high).,Maslow source is internal mapping but structurally stable. Use as narrative layer: 'basic production zone' vs 'professional services zone'. Log+1 transform recommended for any quantitative use.
mean_naf_proximity,layer_3_proximity,0.3406,0.4649,0.4089,0,LOW — narrow range (0.12),safe_static_context_candidate — low discriminating power,static_context; limited training value due to low variance,LOW — 0.12 spread across 306 zones,YES,Highest: rural/specialized zones with few but complementary sectors. Lowest: large diverse urban zones with many weakly-connected NAF pairs.,"Low variance nationally (0.34–0.46). Discriminates at the margins only. May be more useful as interaction term: mean_naf_proximity × n_distinct_naf4. Do not use alone as training feature."
mean_semantic_proximity,layer_3_proximity,0.6174,0.8057,0.7405,0,MEDIUM,needs_source_validation — NLP model unknown,blocked_for_training — model unknown; not reproducible,MEDIUM — 0.19 spread,YES,High semantic proximity = labor market coherence (workers can move between local sectors). Low = fragmented labor market.,Better discriminating power than product-space proximity. However: NLP model unknown → results not reproducible → blocked until model confirmed or re-embedded with open model.
n_naf_pairs_in_ze,layer_3_proximity,463,32342,7055,0,HIGH,safe_static_context_candidate — size proxy,static_context,HIGH,YES,Driven by n_active_estab. Paris (32342 pairs) vs smallest zones (463). Highly correlated with zone size.,Useful as normalization denominator for mean_naf_proximity. Not an independent feature.
nace_io_mean,layer_4_io,0.7934,0.8149,0.8001,0,VERY LOW — range 0.02,needs_source_validation — low variance limits use,static_context; too low variance for standalone training use,VERY LOW — 0.02 range nationally,YES,Range 0.79–0.81: essentially constant across all 306 zones. Near-zero discriminating power.,"IO mean is uniformly high (0.80) because nace_proximities is filtered to high-weight pairs only (≥0.75). Use nace_io_total instead, which reflects sector count more than link strength."
nace_io_total,layer_4_io,58.12,1903.23,,0,HIGH,safe_static_context_candidate — better than mean,static_context,HIGH — 33× spread,YES,Paris (1903) vs smallest zones (~58). Strongly correlated with n_nace_pairs and n_distinct_naf4.,"nace_io_total = nace_io_mean × n_nace_pairs. High total = many connected sectors. Normalise as nace_io_total / n_nace_pairs to isolate IO intensity from zone size effect."
n_nace_pairs_in_ze,layer_4_io,72,2378,532,0,HIGH,safe_static_context_candidate — size proxy,static_context,HIGH,YES,Driven by zone size. Paris 2378 vs smallest 72. Correlated with n_distinct_naf4.,Normalization denominator for IO total. Not an independent feature.
n_recommendations_postmodel,layer_5_recommendation,0,5658,,0,HIGH — but 85% are zero,post_model_only,blocked_for_training,LOW — 39/306 ZEs have data,YES — but mostly 0,Lyon (5658) is highest; 267/306 zones show 0. Extreme sparsity.,Sparse indicator (87% zeros). Post-model use only. Useful as binary flag (recommendation_active: yes/no) rather than continuous.
n_estab_with_recom_postmodel,layer_5_recommendation,0,3509,,0,HIGH — but 85% zero,post_model_only,blocked_for_training,LOW,YES,Sparse. Convert to coverage_rate = n_estab_with_recom / n_active_estab for comparison.,Coverage rate more useful than raw count.
recommendation_density_postmodel,layer_5_recommendation,0.0000,1.0761,0.0712,0,HIGH — but 85% zero,post_model_only,blocked_for_training — 2022 snapshot partial coverage,LOW overall; MEDIUM within the 39 covered ZEs,YES,"Max 1.076 (>1.0 = some establishments have multiple recommendations). For 39 ZEs: meaningful range. For remaining 267: zero by engine incompleteness, not true absence of partnerships.","Use as: IF recommendation_density > 0 THEN zone has confirmed Atlas activity ELSE zone not yet assessed. Binary flag more reliable than continuous density."
