block,tables_or_views,source_type,source_name,source_url_probable,evidence,confidence,notes
Product complexity (ECI/PCI),nomenclature_product_complexity + vw_nomenclature_product_harvard,inferred,Harvard Atlas ECI/PCI — Hidalgo & Hausmann 2009,https://atlas.cid.harvard.edu/,Table named nomenclature_product_complexity directly mirrors Harvard product complexity index (PCI). Part of vw_nomenclature_product_harvard join.,HIGH,ECI/PCI methodology: eigenvalue decomposition of RCA binarized matrix. Open method. Data from OEC.
Product resilience,nomenclature_product_resilience + rank_productive_resilience + vw_resilience_reg + vw_resilience_it,inferred,Internal methodology inspired by Harvard / OECD resilience frameworks,Unknown,Table name and rank structure suggest computation from product space and ubiquity metrics. No direct external source identifiable from names alone.,MEDIUM,Productive resilience = diversity × non-ubiquitous products. Methodology must be confirmed from SQL definitions after DB restoration.
Product green score,nomenclature_product_green + rank_green_production,inferred,Internal / EU Taxonomy or OECD ENV-LINKAGES inferred,Unknown,green_production naming suggests mapping to EU green taxonomy or OECD/IEA green product classification. No direct source confirmed from TOC.,LOW,Requires SQL inspection to identify source mapping. Could be manual expert scoring or crosswalk from EU taxonomy HS4 classification.
Product basic necessity,nomenclature_product_necessity + rank_basic_necessities,inferred,Internal / UN/FAO basic needs classification,Unknown,Naming suggests UN/FAO Sustainable Development Goals basic needs framework or OECD Better Life index dimensions mapped to products.,LOW,Methodology unclear from TOC alone. Requires SQL inspection after DB restoration.
Product competitive advantage,nomenclature_product_competitive_advantage,inferred,Internal / Harvard RCA-derived,Unknown,Likely derived from RCA threshold: product is a competitive advantage if RCA > 1 for the territory.,MEDIUM,Standard Harvard Atlas definition: revealed comparative advantage > 1 = competitive advantage in that product.
Input-Output table,raw_iot_secteur_nace + iot_production_nace + iot_consume_nace + partner_calc_iot + ia_potential_by_iot + func_list_partner_iot,confirmed,INSEE Tableaux Entrées-Sorties (TES) or Eurostat Supply-Use Tables at NACE level,https://www.insee.fr/fr/statistiques/2022724 or https://ec.europa.eu/eurostat/web/esa-supply-use-input-tables,Tables specifically named *_nace confirm NACE-level IO table. Structure (production + consumption matrices) matches INSEE/Eurostat SUTs.,HIGH,IO table appears static (no year suffix → likely single vintage, possibly 2015 or 2019 French TES). Dynamic update possible with annual Eurostat NACE IO.
NAF activity proximity,vw_naf_proximity + nomenclature_activity_product_proximity + nomenclature_activity_semantic_proximity,inferred,Internal computation: product space method + NLP embeddings,Unknown,vw_naf_proximity is a materialized view (computed, not raw data). Likely built from nomenclature_activity_product_proximity weighted by co-occurrence in export/RCA data + semantic similarity.,HIGH,This is the core of the partner recommendation engine for the product-space route.
Semantic similarities,nomenclature_product_semantic_similarity + nomenclature_activity_semantic_proximity,inferred,NLP embeddings — possibly Sentence-BERT or word2vec on activity descriptions,Unknown,Table names with semantic_proximity/semantic_similarity suggest embedding-based similarity. Model and corpus unknown from TOC alone.,LOW,Needs SQL inspection. If description column exists in nomenclature_activity, embeddings are likely computed from NAF labels.
EPCI geography,epci + epci_city,confirmed,INSEE EPCI referential,https://www.insee.fr/fr/information/2510634,Tables match INSEE EPCI (Établissement Public de Coopération Intercommunale) structure.,MEDIUM,EPCI is not ZE2020. ZE2020 aggregation requires commune→ZE path not EPCI path.
Historical establishment stock,util_histo_establishment + util_histo_establishment_taille,inferred,INSEE SIRENE historical or Démographie des entreprises,https://www.insee.fr/fr/statistiques/serie/,Historical counts suggest use of SIRENE time series or CLAP/FLORES employment stock data.,HIGH,Critical for temporal reconstruction. If annual snapshots exist here, could enable ZE2020 time series. Requires inspection.
Polylines / geometry,polyline + polyline_point + polylines + polylines_polyline + point + region_polylines + epci_polylines,inferred,IGN / ADMIN-EXPRESS geometric boundaries,https://geoservices.ign.fr/adminexpress,PostGIS tables with polyline/point geometry. Naming suggests administrative boundary polygons for regions/EPCI.,LOW,Not relevant for ZE2020 feature aggregation (INSEE code path is cleaner).
Parity,parity,unknown,Unknown,Unknown,Table name alone insufficient to identify source. Could be gender parity / sectoral parity index.,LOW,Requires SQL inspection.
BIOM,biom,unknown,Unknown,Unknown,Could be biomass environmental data or bio-medical sector data. No clear origin from name.,LOW,Requires SQL inspection.
Network efficiency/redundancy,util_efficiency_and_redundancy_per_flows_2019 (×4 variants),inferred,Internal network analysis on trade flow graph,Unknown,4 variants (raw + log + log2 + log10) suggest network centrality-style computation on the trade matrix. Similar to Hidalgo & Hausmann fitness/complexity metrics.,LOW,Not a primary source for HERALD features. May be useful for advanced graph-based features.
