relation_family,decision_year,availability_status,unavailable_reason,source_snapshot_year,source_release_date,snapshot_age_years,expected_edge_count,actual_edge_count,provenance
temporal_precedence_signal,2025,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
ze_similarity,2012,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
ze_similarity,2013,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
ze_similarity,2014,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
ze_similarity,2015,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
ze_similarity,2016,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
ze_similarity,2017,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
ze_similarity,2018,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
ze_similarity,2019,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
ze_similarity,2020,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
ze_similarity,2021,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
ze_similarity,2022,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
ze_similarity,2023,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
ze_similarity,2024,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
ze_similarity,2025,derived_available,,,,,12600,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
